RU-CEN_FSS Asia Center
UAAA_A4A_CTR Astana Control
UAAA_CTR Almaty Control
UACC_APP Astana Approach
UACC_GND Astana Ground
UACC_R_APP Astana Radar
UACC_TWR Astana Tower
UACK_TWR Kokshetau Tower
UACN-A1C_CTR Astana Control
UACN-A2C_CTR Astana Control
UACN-A3C_CTR Astana Control
UACN-A4C_CTR Astana Control
UACN_CTR Astana Control
UACP_TWR Petropavlovsk Tower
UAII_CTR Shymkent Control
UAKD_APP Zhezkazgan Approac
UAKD_GND Zhezkazgan Ground
UAKD_TWR Zhezkazgan Tower
UAKK_TWR Karaganda Tower
UARR_TWR Uralsk Tower
UASP_TWR Pavlodar Tower
UASS_TWR Semey Tower
UATT-A1B_CTR Aktobe Control
UATT-A3B_CTR Aktobe Control
UATT-A4B_CTR Aktobe Control
UATT_CTR Aktobe Control
UATT_TWR Aktobe Tower
UAUU_TWR Kostanay Tower
